Date,Year,Month,Day,Open,High,Low,Close,Volume
1990-12-31,1990,12,31,,,,,
1990-12-31,1990,12,31,,,,,
1991-01-02,1991,1,2,26.977771759033203,27.186901092529297,26.79851722717285,26.79851722717285,4341737.0
1991-01-03,1991,1,3,26.8582706451416,27.216777801513672,26.828393936157227,26.888145446777344,5470162.0
1991-01-04,1991,1,4,26.94789695739746,27.00764846801757,26.738767623901367,26.79851722717285,4540058.0
1991-01-07,1991,1,7,26.619264602661133,26.738767623901367,26.29063034057617,26.35038185119629,4976450.0
1991-01-08,1991,1,8,26.380258560180664,26.380258560180664,25.99187469482422,26.051624298095703,7177652.0
1991-01-09,1991,1,9,26.230880737304688,26.469884872436523,25.51386260986328,25.543737411499023,8694352.0
1991-01-10,1991,1,10,25.72299194335937,25.902246475219727,25.63336563110352,25.902246475219727,4025008.0
1991-01-11,1991,1,11,25.78274345397949,25.872371673583984,25.75286865234375,25.84249496459961,2546801.0
1991-01-14,1991,1,14,25.543737411499023,25.60348892211914,25.21510505676269,25.51386260986328,7307356.0
1991-01-15,1991,1,15,25.543737411499023,25.75286865234375,25.51386260986328,25.69311714172364,4887330.0
1991-01-16,1991,1,16,25.63336563110352,26.111377716064453,25.48398780822754,26.08150100708008,6614904.0
1991-01-17,1991,1,17,27.48566055297852,27.754541397094727,27.30640411376953,27.664913177490234,18118394.0
1991-01-18,1991,1,18,27.54541015625,28.262428283691406,27.45578384399414,28.11305046081543,19215020.0
1991-01-21,1991,1,21,27.903919219970703,28.71056365966797,27.87404441833496,28.59106063842773,9211076.0
1991-01-22,1991,1,22,28.531309127807617,28.59106063842773,28.14292526245117,28.20267677307129,8216121.0
1991-01-23,1991,1,23,28.17280006408692,28.71056365966797,28.17280006408692,28.501434326171875,9250824.0
1991-01-24,1991,1,24,28.680688858032227,29.069072723388672,28.65081214904785,28.91969490051269,11887581.0
1991-01-25,1991,1,25,28.94956970214844,29.30807876586914,28.80019187927246,29.30807876586914,10213562.0
1991-01-28,1991,1,28,29.27820205688477,29.875717163085938,29.248327255249023,29.696462631225582,10369207.0
1991-01-29,1991,1,29,29.666587829589844,29.9653434753418,29.397705078125,29.756214141845703,8155453.0
1991-01-30,1991,1,30,29.81596565246582,30.35372734069824,29.78609085083008,30.35372734069824,10561671.0
