Date,Open,High,Low,Close,Adj Close,Volume
1990-12-31,27.097274780273438,27.127151489257812,26.977771759033203,27.007648468017578,12.125890731811523,1930079
1991-01-02,26.977771759033203,27.186901092529297,26.79851722717285,26.79851722717285,12.03199291229248,4341737
1991-01-03,26.8582706451416,27.216777801513672,26.828393936157227,26.888145446777344,12.072237968444824,5470162
1991-01-04,26.94789695739746,27.007648468017578,26.738767623901367,26.79851722717285,12.03199291229248,4540058
1991-01-07,26.619264602661133,26.738767623901367,26.290630340576172,26.35038185119629,11.830785751342773,4976450
1991-01-08,26.380258560180664,26.380258560180664,25.99187469482422,26.051624298095703,11.69665241241455,7177652
1991-01-09,26.230880737304688,26.469884872436523,25.51386260986328,25.543737411499023,11.468622207641602,8694352
1991-01-10,25.722991943359375,25.902246475219727,25.633365631103516,25.902246475219727,11.629583358764648,4025008
1991-01-11,25.782743453979492,25.872371673583984,25.75286865234375,25.84249496459961,11.602760314941406,2546801
1991-01-14,25.543737411499023,25.60348892211914,25.215105056762695,25.51386260986328,11.45521354675293,7307356
1991-01-15,25.543737411499023,25.75286865234375,25.51386260986328,25.693117141723633,11.535690307617188,4887330
1991-01-16,25.633365631103516,26.111377716064453,25.48398780822754,26.081501007080078,11.710066795349121,6614904
1991-01-17,27.485660552978516,27.754541397094727,27.30640411376953,27.664913177490234,12.420985221862793,18118394
1991-01-18,27.54541015625,28.262428283691406,27.45578384399414,28.11305046081543,12.622194290161133,19215020
1991-01-21,27.903919219970703,28.71056365966797,27.87404441833496,28.591060638427734,12.836810111999512,9211076
1991-01-22,28.531309127807617,28.591060638427734,28.142925262451172,28.20267677307129,12.662428855895996,8216121
1991-01-23,28.172800064086914,28.71056365966797,28.172800064086914,28.501434326171875,12.796564102172852,9250824
1991-01-24,28.680688858032227,29.069072723388672,28.65081214904785,28.919694900512695,12.984358787536621,11887581
1991-01-25,28.949569702148438,29.30807876586914,28.80019187927246,29.30807876586914,13.158734321594238,10213562
1991-01-28,29.278202056884766,29.875717163085938,29.248327255249023,29.696462631225586,13.333110809326172,10369207
1991-01-29,29.666587829589844,29.965343475341797,29.397705078125,29.756214141845703,13.359936714172363,8155453
1991-01-30,29.81596565246582,30.353727340698242,29.786090850830078,30.353727340698242,13.628207206726074,10561671
1991-01-31,30.264101028442383,30.383604049682617,30.174474716186523,30.293977737426758,13.601387977600098,7189367
1991-02-01,30.23422622680664,30.50310707092285,30.025096893310547,30.3238525390625,13.614801406860352,8029514
1991-02-04,30.174474716186523,30.50310707092285,30.025096893310547,30.443355560302734,13.800064086914062,6498170
1991-02-05,30.413480758666992,30.712236404418945,30.353727340698242,30.712236404418945,13.921943664550781,9108986
1991-02-06,30.622610092163086,31.07074546813965,30.59273338317871,31.040870666503906,14.0709228515625,10123606
1991-02-07,31.07074546813965,31.309751510620117,30.682361602783203,30.712236404418945,13.921943664550781,10593888
1991-02-08,30.801864624023438,31.040870666503906,30.65248680114746,30.951242446899414,14.030282020568848,7329113
1991-02-11,31.040870666503906,31.66826057434082,30.98111915588379,31.638383865356445,14.34177017211914,7804415
1991-02-12,31.42925453186035,31.99689292907715,31.42925453186035,31.728010177612305,14.382400512695312,9926122
1991-02-13,31.638383865356445,32.26577377319336,31.608509063720703,32.1761474609375,14.585539817810059,8049179
1991-02-14,32.23590087890625,32.56453323364258,31.99689292907715,32.26577377319336,14.626176834106445,10398914
1991-02-15,32.385276794433594,32.95291519165039,32.355403900146484,32.833412170410156,14.883477210998535,11459558
1991-02-19,32.80353546142578,33.40105056762695,32.7437858581543,33.34130096435547,15.113714218139648,9531570
1991-02-20,33.04254150390625,33.162044525146484,32.95291519165039,32.95291519165039,14.937652587890625,7757973
1991-02-21,32.982791900634766,33.04254150390625,32.385276794433594,32.385276794433594,14.680341720581055,6550052
1991-02-22,32.41515350341797,32.7437858581543,31.698135375976562,31.84751319885254,14.436568260192871,9975074
1991-02-25,32.08652114868164,32.295650482177734,31.578632354736328,31.93714141845703,14.477206230163574,7927425
1991-02-26,31.728010177612305,31.787763595581055,31.01099395751953,31.01099395751953,14.057368278503418,9318186
