CODIGO_ISO,ANIO,INDICE,RANKING
AUS,2013,16.91,17.0
AUT,2013,10.01,1.0
AZE,2013,52.87,149.0
BDI,2013,40.5,131.0
BEL,2013,12.8,12.0
BEN,2013,28.83,64.0
BFA,2013,24.45,41.0
BGD,2013,42.58,135.0
BGR,2013,31.42,89.0
BHR,2013,58.26,152.0
BIH,2013,26.86,55.0
BLR,2013,47.82,146.0
BLZ,2013,17.05,18.0
BOL,2013,31.04,83.0
BRA,2013,34.03,100.0
BRN,2013,35.45,106.0
BTN,2013,30.73,81.0
BWA,2013,22.91,30.0
CAF,2013,,
CAN,2013,10.99,7.0
CHE,2013,10.47,4.0
CHL,2013,25.8,47.0
CHN,2013,72.91,171.0
CIV,2013,31.63,90.0
CMR,2013,38.13,120.0
COD,2013,44.64,140.0
COG,2013,29.44,71.0
COL,2013,36.68,115.0
COM,2013,24.52,42.0
CPV,2013,14.32,13.0
CRI,2013,12.23,10.0
CUB,2013,70.92,166.0
CYP,2013,14.45,14.0
CZE,2013,10.07,2.0
DEU,2013,10.23,3.0
DJI,2013,70.34,165.0
DNK,2013,7.43,164.0
DOM,2013,27.17,57.0
DZA,2013,36.26,110.0
ECU,2013,31.16,84.0
EGY,2013,51.89,148.0
ERI,2013,84.83,179.0
ESP,2013,20.63,24.0
EST,2013,9.63,180.0
ETH,2013,40.58,132.0
FIN,2013,6.4,155.0
FJI,2013,32.57,96.0
FRA,2013,21.89,28.0
GAB,2013,31.32,87.0
GBR,2013,19.93,22.0
GEO,2013,29.78,73.0
GHA,2013,16.29,16.0
GIN,2013,31.67,91.0
GMB,2013,46.42,144.0
GNB,2013,30.05,75.0
GNQ,2013,67.95,162.0
GRC,2013,31.33,88.0
GRD,2013,,
GTM,2013,36.61,114.0
GUY,2013,27.08,56.0
HKG,2013,26.55,50.0
HND,2013,37.14,118.0
HRV,2013,26.82,54.0
HTI,2013,23.53,36.0
HUN,2013,26.73,53.0
IDN,2013,38.15,121.0
IND,2013,40.34,129.0
IRL,2013,10.87,5.0
IRN,2013,72.29,169.0
IRQ,2013,45.44,142.0
ISL,2013,8.5,174.0
ISR,2013,31.19,85.0
ITA,2013,23.75,38.0
JAM,2013,10.9,6.0
JOR,2013,40.42,130.0
JPN,2013,26.02,48.0
KAZ,2013,54.94,150.0
KEN,2013,30.7,79.0
KGZ,2013,31.24,86.0
KHM,2013,40.97,133.0
KOR,2013,25.66,46.0
KSV,2013,37757.0,116370.0
KWT,2013,30.71,80.0
LAO,2013,,
LBN,2013,31.89,95.0
LBR,2013,30.65,78.0
LBY,2013,39.84,126.0
LIE,2013,7.02,163.0
LKA,2013,59.13,154.0
LSO,2013,28.36,63.0
LTU,2013,19.2,21.0
LUX,2013,6.7,158.0
LVA,2013,21.1,26.0
MAR,2013,39.72,125.0
MDA,2013,25.35,45.0
MDG,2013,29.38,70.0
MDV,2013,33.11,97.0
MEX,2013,45.04,141.0
MKD,2013,36.43,112.0
MLI,2013,36.29,111.0
MLT,2013,23.84,40.0
MMR,2013,41.43,134.0
MNE,2013,34.78,103.0
MNG,2013,30.3,77.0
MOZ,2013,29.26,68.0
MRT,2013,26.53,49.0
MUS,2013,27.69,59.0
MWI,2013,28.29,62.0
MYS,2013,42.73,136.0
NAM,2013,12.5,11.0
NER,2013,23.59,37.0
NGA,2013,34.24,101.0
NIC,2013,27.7,60.0
NLD,2013,6.46,156.0
NOR,2013,6.52,157.0
NPL,2013,36.16,109.0
NZL,2013,8.55,175.0
OMN,2013,38.83,123.0
PAK,2013,51.46,147.0
PAN,2013,30.2,76.0
PER,2013,31.7,93.0
PHL,2013,43.69,138.0
PNG,2013,23.46,33.0
POL,2013,11.03,8.0
PRK,2013,,
PRT,2013,17.73,19.0
PRY,2013,31.81,94.0
PSE,2013,,
QAT,2013,34.32,102.0
ROU,2013,23.48,34.0
RUS,2013,42.78,137.0
RWA,2013,56.57,151.0
SAU,2013,58.3,153.0
SDN,2013,71.88,168.0
SEN,2013,37124.0,51.0
